CUSTOMERNAME,PHONE,CONTACTLASTNAME,CONTACTFIRSTNAME
" ""Volvo Model Replicas Co""          ", 0921-12 3555     , Berglund       , Christina       
" ""Corrida Auto Replicas Ltd""        ", (91) 555 22 82   , Sommer         , Martï¿½n          
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 Classic Legends Inc.                , 2125558493       , Hernandez      , Maria           
" ""Australian Gift Network Co""       ", 61-7-3844-6555   , Calaghan       , Tony            
" ""Classic Gift Ideas Inc""           ", 2155554695       , Cervantes      , Francisca       
" ""Australian Collectables Ltd""      ", 61-9-3844-6555   , Connery        , Sean            
 Canadian Gift Exchange Network      , (604) 555-3392   , Tannamuri      , Yoshi           
 West Coast Collectables Co.         , 3105553722       , Thompson       , Steve           
 Cambridge Collectables Co.          , 6175555555       , Tseng          , Kyung           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 The Sharp Gifts Warehouse           , 4085553659       , Frick          , Sue             
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
 Amica Models & Co.                  , 011-4988555      , Accorti        , Paolo           
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 Auto Assoc. & Cie.                  , 30.59.8555       , Tonini         , Daniel          
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Online Diecast Creations Co.        , 6035558647       , Young          , Valarie         
 Mini Wheels Co.                     , 6505555787       , Murphy         , Julie           
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Collectables For Less Inc.          , 6175558555       , Nelson         , Allen           
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Petit Auto                          , (02) 5554 67     , Dewey          , Catherine       
 Baane Mini Imports                  , 07-98 9555       , Bergulfsen     , Jonas           
 Mini Wheels Co.                     , 6505555787       , Murphy         , Julie           
" ""Corrida Auto Replicas Ltd""        ", (91) 555 22 82   , Sommer         , Martï¿½n          
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 Classic Legends Inc.                , 2125558493       , Hernandez      , Maria           
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
" ""Classic Gift Ideas Inc""           ", 2155554695       , Cervantes      , Francisca       
" ""Australian Collectables Ltd""      ", 61-9-3844-6555   , Connery        , Sean            
 Canadian Gift Exchange Network      , (604) 555-3392   , Tannamuri      , Yoshi           
 West Coast Collectables Co.         , 3105553722       , Thompson       , Steve           
 Cambridge Collectables Co.          , 6175555555       , Tseng          , Kyung           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 The Sharp Gifts Warehouse           , 4085553659       , Frick          , Sue             
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Amica Models & Co.                  , 011-4988555      , Accorti        , Paolo           
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 Auto Assoc. & Cie.                  , 30.59.8555       , Tonini         , Daniel          
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Online Diecast Creations Co.        , 6035558647       , Young          , Valarie         
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Collectables For Less Inc.          , 6175558555       , Nelson         , Allen           
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
 Mini Auto Werke                     , 7675-3555        , Mendel         , Roland          
 Petit Auto                          , (02) 5554 67     , Dewey          , Catherine       
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Auto-Moto Classics Inc.             , 6175558428       , Taylor         , Leslie          
 Mini Creations Ltd.                 , 5085559555       , Tam            , Wing C          
" ""Toys of Finland Co.""              ", 90-224 8555      , Karttunen      , Matti           
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 Alpha Cognac                        , 61.77.6555       , Roulet         , Annette         
" ""Double Decker Gift Stores Ltd""    ", (171) 555-7555   , Hardy          , Thomas          
 Enaco Distributors                  , (93) 203 4555    , Saavedra       , Eduardo         
" ""Men 'R' US Retailers Ltd.""        ", 2155554369       , Chandler       , Michael         
 Collectable Mini Designs Co.        , 7605558146       , Thompson       , Valarie         
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Petit Auto                          , (02) 5554 67     , Dewey          , Catherine       
" ""Royal Canadian Collectables Ltd."" ", (604) 555-4555   , Lincoln        , Elizabeth       
" ""Bavarian Collectables Imports Co.""", +49 89 61 08 9555, Donnermeyer    , Michael         
" ""Classic Gift Ideas Inc""           ", 2155554695       , Cervantes      , Francisca       
 giftsbymail.co.uk                   , (198) 555-8888   , Bennett        , Helen           
 Danish Wholesale Imports            , 31 12 3555       , Petersen       , Jytte           
 Royale Belge                        , (071) 23 67 2555 , Cartrain       , Pascale         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""Oulu Toy Supplies Inc.""           ", 981-443655       , Koskitalo      , Pirkko          
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
 The Sharp Gifts Warehouse           , 4085553659       , Frick          , Sue             
 Gifts4AllAges.com                   , 6175559555       , Yoshido        , Juri            
 Baane Mini Imports                  , 07-98 9555       , Bergulfsen     , Jonas           
 Mini Wheels Co.                     , 6505555787       , Murphy         , Julie           
" ""Corrida Auto Replicas Ltd""        ", (91) 555 22 82   , Sommer         , Martï¿½n          
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 Classic Legends Inc.                , 2125558493       , Hernandez      , Maria           
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
" ""Classic Gift Ideas Inc""           ", 2155554695       , Cervantes      , Francisca       
" ""Australian Collectables Ltd""      ", 61-9-3844-6555   , Connery        , Sean            
 Canadian Gift Exchange Network      , (604) 555-3392   , Tannamuri      , Yoshi           
 West Coast Collectables Co.         , 3105553722       , Thompson       , Steve           
 Cambridge Collectables Co.          , 6175555555       , Tseng          , Kyung           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 The Sharp Gifts Warehouse           , 4085553659       , Frick          , Sue             
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
 Amica Models & Co.                  , 011-4988555      , Accorti        , Paolo           
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
